Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,2365.000000,2407.949951,2363.550049,2403.850098,2403.850098,2502073
2022-01-04,2415.899902,2461.000000,2404.000000,2458.100098,2458.100098,5006225
2022-01-05,2462.000000,2477.000000,2432.949951,2469.600098,2469.600098,5373618
2022-01-06,2451.199951,2454.000000,2409.000000,2416.500000,2416.500000,6667483
2022-01-07,2430.949951,2458.050049,2411.550049,2436.000000,2436.000000,6051239
2022-01-10,2452.000000,2457.000000,2416.050049,2438.000000,2438.000000,4267365
2022-01-11,2436.000000,2474.949951,2435.000000,2455.550049,2455.550049,7478681
2022-01-12,2471.300049,2524.949951,2465.000000,2521.100098,2521.100098,6830402
2022-01-13,2521.250000,2541.000000,2508.399902,2535.300049,2535.300049,5471871
2022-01-14,2535.000000,2567.300049,2525.850098,2539.000000,2539.000000,9197773
2022-01-17,2538.000000,2565.000000,2537.000000,2552.250000,2552.250000,3708822
2022-01-18,2554.750000,2562.350098,2515.750000,2521.800049,2521.800049,2868235
2022-01-19,2530.000000,2542.000000,2509.000000,2521.600098,2521.600098,4502155
2022-01-20,2500.050049,2509.949951,2455.000000,2477.449951,2477.449951,7612203
2022-01-21,2452.000000,2502.250000,2452.000000,2477.850098,2477.850098,6155759
2022-01-24,2475.000000,2504.750000,2355.100098,2377.899902,2377.899902,10092511
2022-01-25,2349.550049,2388.649902,2305.000000,2373.250000,2373.250000,11311456
2022-01-27,2336.000000,2356.100098,2311.050049,2338.100098,2338.100098,9239426
2022-01-28,2365.000000,2375.899902,2328.399902,2335.850098,2335.850098,6769154
2022-01-31,2360.199951,2406.399902,2356.199951,2386.600098,2386.600098,5604308
2022-02-01,2408.000000,2420.600098,2347.100098,2378.699951,2378.699951,6092033
2022-02-02,2407.000000,2407.000000,2375.100098,2383.550049,2383.550049,4623163
2022-02-03,2392.000000,2401.449951,2347.199951,2352.750000,2352.750000,4417864
2022-02-04,2341.000000,2348.449951,2321.100098,2331.300049,2331.300049,5104761
2022-02-07,2342.000000,2356.800049,2305.000000,2317.100098,2317.100098,4944725
2022-02-08,2330.649902,2360.000000,2310.000000,2356.050049,2356.050049,5566080
2022-02-09,2371.149902,2387.199951,2358.000000,2383.500000,2383.500000,5300891
2022-02-10,2395.699951,2395.699951,2365.100098,2381.050049,2381.050049,5752361
2022-02-11,2373.250000,2384.500000,2344.100098,2376.399902,2376.399902,7357863
2022-02-14,2340.250000,2354.949951,2313.000000,2338.550049,2338.550049,4947109
2022-02-15,2351.199951,2423.899902,2335.699951,2417.949951,2417.949951,5174646
2022-02-16,2430.000000,2433.000000,2395.949951,2412.949951,2412.949951,4796294
2022-02-17,2420.100098,2454.899902,2410.000000,2443.500000,2443.500000,5931774
2022-02-18,2444.399902,2456.399902,2420.149902,2424.399902,2424.399902,3126873
2022-02-21,2412.000000,2437.500000,2384.600098,2399.899902,2399.899902,5125968
2022-02-22,2352.899902,2395.899902,2347.149902,2389.000000,2389.000000,6227901
2022-02-23,2401.100098,2406.550049,2368.000000,2374.050049,2374.050049,3373615
2022-02-24,2305.000000,2339.899902,2243.399902,2255.750000,2255.750000,11466725
2022-02-25,2280.100098,2307.949951,2276.250000,2283.949951,2283.949951,6724094
2022-02-28,2243.000000,2367.350098,2243.000000,2359.550049,2359.550049,9828768
2022-03-02,2334.449951,2401.000000,2329.199951,2398.550049,2398.550049,9909226
2022-03-03,2400.000000,2414.850098,2370.050049,2378.300049,2378.300049,4701183
2022-03-04,2353.000000,2364.300049,2320.350098,2325.550049,2325.550049,4986814
2022-03-07,2278.699951,2312.100098,2222.000000,2239.550049,2239.550049,8299295
2022-03-08,2211.500000,2246.000000,2180.000000,2235.500000,2235.500000,9825043
2022-03-09,2236.000000,2367.000000,2234.149902,2354.100098,2354.100098,9421163
2022-03-10,2400.000000,2405.000000,2360.000000,2392.250000,2392.250000,8297995
2022-03-11,2376.050049,2411.000000,2376.050049,2399.149902,2399.149902,5656799
2022-03-14,2386.899902,2424.399902,2374.000000,2418.850098,2418.850098,3849222
2022-03-15,2427.949951,2427.949951,2340.850098,2363.449951,2363.449951,7349740
2022-03-16,2382.000000,2407.899902,2377.100098,2403.350098,2403.350098,5145644
2022-03-17,2432.750000,2497.399902,2415.100098,2481.699951,2481.699951,9886295
2022-03-21,2444.000000,2484.000000,2439.000000,2467.399902,2467.399902,5537752
2022-03-22,2460.100098,2534.949951,2453.600098,2531.149902,2531.149902,10410082
2022-03-23,2523.000000,2564.850098,2523.000000,2539.199951,2539.199951,7135797
2022-03-24,2510.000000,2584.149902,2510.000000,2578.649902,2578.649902,6077153
2022-03-25,2582.500000,2616.000000,2577.000000,2595.850098,2595.850098,6563676
2022-03-28,2610.000000,2629.750000,2586.500000,2621.949951,2621.949951,4564891
2022-03-29,2638.000000,2638.000000,2607.399902,2622.550049,2622.550049,4007695
2022-03-30,2639.899902,2688.000000,2617.100098,2672.949951,2672.949951,7297028
2022-03-31,2664.949951,2669.699951,2628.600098,2634.750000,2634.750000,6102744
2022-04-01,2636.000000,2665.149902,2622.000000,2655.850098,2655.850098,3656408
2022-04-04,2655.449951,2675.000000,2641.649902,2663.699951,2663.699951,3659307
2022-04-05,2651.100098,2669.899902,2620.699951,2626.050049,2626.050049,6068663
2022-04-06,2587.100098,2634.500000,2587.100098,2619.050049,2619.050049,5656703
2022-04-07,2595.100098,2606.000000,2567.000000,2572.850098,2572.850098,7151632
2022-04-08,2560.000000,2625.000000,2560.000000,2615.649902,2615.649902,6992874
2022-04-11,2600.000000,2638.550049,2583.000000,2610.199951,2610.199951,4270816
2022-04-12,2587.000000,2602.600098,2555.399902,2561.050049,2561.050049,6099986
2022-04-13,2574.500000,2592.600098,2545.500000,2551.649902,2551.649902,4778478
2022-04-18,2533.000000,2559.800049,2521.800049,2543.850098,2543.850098,4603103
2022-04-19,2558.000000,2668.000000,2551.050049,2640.800049,2640.800049,12064446
2022-04-20,2657.100098,2734.000000,2649.100098,2718.449951,2718.449951,11570835
2022-04-21,2750.899902,2789.000000,2732.000000,2782.100098,2782.100098,10018531
2022-04-22,2758.899902,2802.000000,2744.199951,2758.800049,2758.800049,6947490
2022-04-25,2742.399902,2758.399902,2663.649902,2695.000000,2695.000000,7874671
2022-04-26,2710.000000,2795.000000,2707.699951,2775.649902,2775.649902,5643066
2022-04-27,2755.850098,2828.000000,2755.050049,2778.350098,2778.350098,8924920
2022-04-28,2809.949951,2851.000000,2786.100098,2819.850098,2819.850098,11820892
2022-04-29,2856.149902,2856.149902,2777.300049,2790.250000,2790.250000,8406156
2022-05-02,2762.000000,2805.500000,2758.050049,2780.449951,2780.449951,4369022
2022-05-04,2785.000000,2790.000000,2676.300049,2693.649902,2693.649902,8882792
2022-05-05,2723.500000,2730.000000,2632.000000,2640.899902,2640.899902,7942721
2022-05-06,2612.199951,2659.000000,2593.550049,2620.649902,2620.649902,9068448
2022-05-09,2574.949951,2597.100098,2507.000000,2518.300049,2518.300049,8345649
2022-05-10,2495.000000,2526.600098,2458.000000,2474.649902,2474.649902,9004636
2022-05-11,2472.649902,2484.949951,2421.949951,2449.300049,2449.300049,7681157
2022-05-12,2427.500000,2434.850098,2370.000000,2399.399902,2399.399902,9456280
2022-05-13,2426.000000,2478.000000,2415.350098,2426.600098,2426.600098,8910998
2022-05-16,2434.449951,2481.000000,2416.649902,2427.199951,2427.199951,6201594
2022-05-17,2435.100098,2539.899902,2432.000000,2529.149902,2529.149902,7638666
2022-05-18,2539.649902,2570.000000,2508.250000,2538.350098,2538.350098,7973235
2022-05-19,2484.000000,2512.500000,2466.050049,2479.850098,2479.850098,6783641
2022-05-20,2512.500000,2644.399902,2502.000000,2624.449951,2624.449951,10057508
2022-05-23,2631.500000,2653.550049,2593.000000,2606.899902,2606.899902,7039144
2022-05-24,2607.000000,2638.000000,2597.699951,2615.850098,2615.850098,6243086
2022-05-25,2635.000000,2656.699951,2601.500000,2612.000000,2612.000000,5867760
2022-05-26,2624.399902,2634.899902,2548.000000,2587.100098,2587.100098,8252551
2022-05-27,2593.050049,2605.149902,2540.100098,2575.100098,2575.100098,7624888
2022-05-30,2615.000000,2674.000000,2594.199951,2664.800049,2664.800049,6393341
